method,component,ic_variance,ic_std,excess_kurtosis,abs_excess_kurtosis,robust_peak_density,max_abs_robust_z,lag1_autocorr,lag5_autocorr,lag10_autocorr,window_variance_ratio,zero_crossing_rate,spectral_total_power,peak_freq_hz,low_freq_power_ratio,high_freq_power_ratio,spectral_entropy,narrowband_ratio,loading_l1,loading_l2,loading_hoyer_sparsity,max_median_loading_ratio,strong_loading_fraction,behavior_corr_angle,behavior_corr_vigor,behavior_corr_bout_state,max_abs_behavior_corr
infomax,0,0.9996851385390428,0.9998425568753526,-0.27831862071733404,0.27831862071733404,0.0,3.2566222441263775,0.9918304074898959,0.9488148692354896,0.9097056931241968,1.9513941214430286,0.01889763779527559,35.84307399837594,0.021184800000000004,0.9844107672054694,0.0,0.32284578422314775,5792.912766654422,904.4064675701666,50.69836488034302,0.3997162261713272,17.099520959859884,0.15165876777251186,-0.19304450484408125,-0.0740126023434269,-0.04848001534813323,0.19304450484408125
infomax,1,0.9996851385390428,0.9998425568753526,0.6929461730667876,0.6929461730667876,0.0,4.274510103531254,0.9778957010842158,0.8788184619886347,0.8532674579120587,2.2741062340417133,0.06078740157480315,19.82392554671232,0.021184800000000004,0.9210196699064344,0.0,0.5391103365589449,748.1103600442013,804.6072270789608,39.38562145797062,0.3073869428926856,9.303922500813533,0.06872037914691943,-0.01727213267699661,0.023770873191202063,-0.0023042592599051,0.023770873191202063
infomax,2,0.9996851385390421,0.9998425568753523,0.032692121492992054,0.032692121492992054,0.0,4.2566648836439125,0.9780528205916906,0.9108862313941045,0.8661096472817054,4.1448136607905255,0.05133858267716535,22.749976936885236,0.021184800000000004,0.9446868861602898,0.0,0.48077450779473413,706.6274756275068,563.3800029435167,28.628635107491554,0.3341254528574113,11.504480035939467,0.08293838862559241,-0.05802663260644465,-0.08601466645592612,-0.06776983979577482,0.08601466645592612
infomax,3,0.9996851385390421,0.9998425568753523,0.7038677636064246,0.7038677636064246,0.0,4.248137596578022,0.9773827524157669,0.9105585132737231,0.8305886759477465,2.2396714974521563,0.051023622047244095,41.21864796842391,0.021184800000000004,0.9722790050419504,0.0,0.3950391571936627,1621.6601220704908,370.05448997193787,19.92483316778644,0.37356594713081964,14.579034127125283,0.0971563981042654,0.05310400868880748,-0.07286423594534058,-0.0676468395555082,0.07286423594534058
infomax,4,0.9996851385390433,0.9998425568753528,8.023262021518823,8.023262021518823,0.04061712846347607,13.260371671522142,0.9784561876821495,0.918818141551032,0.8290393932480042,10.26405245222192,0.07748031496062992,29.31127204686536,0.021184800000000004,0.9626248929241971,0.0,0.46868375231784787,920.4122183411316,253.51173546957924,18.41908867265799,0.5449993046587607,46.283530939294,0.11255924170616113,0.03973792006525236,-0.029040383489718578,-0.018875552771241266,0.03973792006525236
infomax,5,0.9996851385390433,0.9998425568753528,3.263480868995231,3.263480868995231,0.002204030226700252,6.498741701174536,0.9288952144042791,0.7200407487205258,0.7340551754342199,2.2617115691684133,0.14015748031496064,33.74959444046929,0.021184800000000004,0.8530810155212925,0.0,0.5993265438943121,310.1512113245878,274.0350023496385,15.139938631248276,0.39040582469477214,15.556770249674768,0.08886255924170616,-0.010614532250931341,-0.11927949761610318,-0.11874966709127198,0.11927949761610318
infomax,6,0.9996851385390417,0.9998425568753521,1.9879863054507991,1.9879863054507991,0.0,5.471298121869654,0.9589077453546084,0.8828606854982131,0.8109062614567182,6.3294494709247715,0.095748031496063,36.78054512737233,0.021184800000000004,0.943968381212541,0.0,0.45769237780659605,669.0842567651813,264.7443183505286,14.129462941962043,0.36770127020331533,14.032992272670867,0.08886255924170616,-0.07999567307325581,-0.0921239613331719,-0.07892017787185884,0.0921239613331719
infomax,7,0.9996851385390411,0.9998425568753517,4.126093519395352,4.126093519395352,0.0006297229219143577,6.390808720248439,0.9600301200209709,0.8604112264219118,0.7475388674297995,3.1951915678060026,0.0894488188976378,32.84927882591299,0.021184800000000004,0.9394472196977545,0.0,0.5126444122514908,473.0943871930325,239.44698073044555,13.821305590818671,0.41805679320090133,23.455561549369204,0.10071090047393365,-0.06777046667701402,-0.12377745453079446,-0.11076940988633444,0.12377745453079446
infomax,8,0.9996851385390415,0.999842556875352,1.965765629476702,1.965765629476702,0.0012594458438287153,6.612145206379417,0.968942991502037,0.9007570354624655,0.8578630163721597,8.932494139606879,0.09984251968503936,20.669233486747345,0.021184800000000004,0.9214326300458904,0.0,0.5055563372252189,571.0258863845547,208.25305569232455,13.346435159479157,0.479402037591213,36.36804742760974,0.14336492890995262,-0.03551454915947975,-0.12700599197375972,-0.10656206360295185,0.12700599197375972
infomax,9,0.9996851385390425,0.9998425568753525,10.703117117016019,10.703117117016019,0.004722921914357683,12.367232228659576,0.955856667843933,0.8429539135604303,0.7440677468168929,5.600810297792573,0.1247244094488189,29.39782690170178,0.021184800000000004,0.9325832795311991,0.0,0.5317837495398487,540.1947246791589,184.37191131130982,12.022065556932043,0.48893874077933247,39.612622952432226,0.10545023696682465,0.07744032273872616,0.02728889030657628,0.02926078155768729,0.07744032273872616
infomax,10,0.9996851385390423,0.9998425568753524,0.6869956266784607,0.6869956266784607,0.0,4.783077839746483,0.9182707121165016,0.7569499536713545,0.6373401895199015,1.6179314247134762,0.13070866141732285,39.439648751867374,0.021184800000000004,0.8819132951228487,0.0,0.5906163201463709,229.2250072350704,172.37622899741797,10.887254930263936,0.47123142519171024,31.064402646805455,0.1646919431279621,0.08202772899136763,0.1765508588054993,0.16247887152411153,0.1765508588054993
infomax,11,0.9996851385390437,0.9998425568753531,-0.06296928654487033,0.06296928654487033,0.0,4.117659373459621,0.9310286605943071,0.859710730400046,0.7910964030024359,2.0715900080466914,0.12850393700787402,26.431860604341953,0.021184800000000004,0.8806833627017036,0.0,0.5531689494569147,241.18940404672267,180.42299333351633,9.75239451953073,0.3761378982386962,16.62481719385866,0.08767772511848342,0.017401057904146863,-0.015918781390849342,-0.0022419908604813374,0.017401057904146863
infomax,12,0.9996851385390421,0.9998425568753523,1.7721300178763517,1.7721300178763517,0.0,5.22681906975463,0.8931868548048978,0.7647097819065751,0.6984881523808271,2.33759513776288,0.16755905511811023,38.6768369344039,0.021184800000000004,0.8731827034670574,0.0,0.580975322041974,240.68344052884603,157.3916921649576,9.125973418811704,0.4208344765682558,25.930956041211843,0.10900473933649289,-0.06631820556530738,0.029695760577287136,0.007942717919341452,0.06631820556530738
infomax,13,0.9996851385390424,0.9998425568753524,0.9731191734845592,0.9731191734845592,0.00031486146095717883,6.308369496128609,0.8014661532610282,0.5898973194868729,0.5431148221473673,2.3661754512452937,0.19779527559055118,43.21564874550738,0.021184800000000004,0.7694240800821172,0.0,0.6921589727900846,111.33644505574492,165.07663591423508,8.60345814659538,0.35165225335030154,14.279030703948912,0.09123222748815166,-0.06630183839039784,-0.22087347849334146,-0.17332975796735764,0.22087347849334146
infomax,14,0.9996851385390448,0.9998425568753536,0.09915060581402502,0.09915060581402502,0.0,4.060697415127708,0.3292952577678023,0.4266058000612975,0.2853670581552532,1.3735295106969654,0.3940157480314961,43.88988262931088,0.021184800000000004,0.3270139697976629,0.0,0.8682966222042422,23.415362035145723,165.2904114734206,8.313809537784556,0.3269055552287042,13.711020178774655,0.06753554502369669,0.019011759368888066,0.03644159125363076,0.042044890129516885,0.042044890129516885
infomax,15,0.9996851385390433,0.9998425568753528,0.30294427552488123,0.30294427552488123,0.0,3.9984155813002897,0.44545835397460326,0.5034774282501158,0.3939947451616153,1.4411884582446037,0.3618897637795276,41.376537558641424,0.021184800000000004,0.41916788118423365,0.0,0.8297988079015807,39.412280294092916,163.23652967159325,8.24107979449078,0.3295351979588124,10.671864809763457,0.08767772511848342,0.016897880725926573,0.021053601737485533,0.022940666020548096,0.022940666020548096
infomax,16,0.9996851385390445,0.9998425568753535,0.021261784158841834,0.021261784158841834,0.0,3.73170426811156,0.6172465592120435,0.5728763210417159,0.5070888039605623,2.049825750116019,0.2847244094488189,36.441917013477315,0.021184800000000004,0.5460663843681975,0.0,0.8154734839953809,51.05644814306592,148.86635415891408,7.815412001105553,0.35662339088394274,16.603477085538497,0.06398104265402843,-0.05606490011915475,-0.1040699854700077,-0.08839354402804596,0.1040699854700077
infomax,17,0.9996851385390427,0.9998425568753526,0.6369716626177744,0.6369716626177744,0.0,4.300728029618363,0.7655487579870736,0.7272154041884624,0.6914629525992789,1.4177849421744,0.24031496062992125,29.383366382289843,0.021184800000000004,0.6644474376612101,0.0,0.7316907146696063,64.72522950897628,141.17128921131166,7.443297946385264,0.3595310632604367,16.43732947512166,0.08293838862559241,-0.026851288678484013,-0.11271179069407526,-0.10885140893475169,0.11271179069407526
