target,task,comparison,train_version,test_version,fold,n_train,n_test,balanced_accuracy,macro_f1,roc_auc
bout_state,classification,within,raw,raw,0,2536,635,0.6681495809155383,0.6039736279401282,0.7357059961315281
bout_state,classification,within,raw,raw,1,2533,635,0.6800540499962465,0.6757519515424295,0.7618797387583515
bout_state,classification,within,raw,raw,2,2534,634,0.6603257757929692,0.6120637406295765,0.7715991068361387
bout_state,classification,within,raw,raw,3,2533,635,0.6653585962686961,0.6466587862327013,0.7249088314571113
bout_state,classification,within,raw,raw,4,2536,635,0.6234206989247312,0.623150454821307,0.6873252688172045
bout_state,classification,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,0,2536,635,0.6464539007092198,0.635348662894724,0.7235332043842683
bout_state,classification,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,1,2533,635,0.6706703700923354,0.6649625209227858,0.7550484197883043
bout_state,classification,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,2,2534,634,0.7130997366311691,0.6775258038904327,0.7780974464674224
bout_state,classification,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,3,2533,635,0.6769396437820412,0.667870286348054,0.7499867871676973
bout_state,classification,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,4,2536,635,0.6239247311827957,0.6179486437007937,0.692997311827957
bout_state,classification,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,0.486782720825274,0.4856496929251898,0.48720825274016766
bout_state,classification,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,0.4847171133298301,0.4830453825256997,0.48579936441208116
bout_state,classification,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,0.48223691743959696,0.4782578765719507,0.4880195809000344
