method,tail_vigor_within_pearson,tail_vigor_within_pearson_preservation_pct,tail_vigor_transfer_pearson,tail_vigor_transfer_pearson_preservation_pct,bout_state_within_balanced_accuracy,bout_state_within_balanced_accuracy_preservation_pct,bout_state_transfer_balanced_accuracy,bout_state_transfer_balanced_accuracy_preservation_pct,behavioral_preservation_index,neuron_pearson_median,nrmse_mean,variance_ratio_median,mean_abs_delta,recommendation_label
raw,0.25070060162673263,100.0,0.25070060162673263,100.0,0.6594617403796363,100.0,0.6594617403796363,100.0,100.0,1.0,0.0,1.0,0.0,raw reference
infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0.5242993109997744,208.71266989241278,0.36593916490552203,145.78929453764943,0.6955161095476831,125.06624067848179,0.6722991089530997,108.92498129258615,147.12329660028254,0.7575559127347806,0.6443253001394864,0.5738910484976787,1.2660804875617324,best preserved
infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0.5166998918465243,205.6930900571332,0.36799365357720965,146.60563226553816,0.6744878527173489,110.44667143012485,0.6621983306134872,101.90257189414042,141.16199141173416,0.7450310229348256,0.6607093263975009,0.5550712664153711,1.307017579552444,acceptable
infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0.4871685712162419,193.95901163796353,0.36142862757260413,143.99706182853117,0.6679513293016832,105.90225495804808,0.6662544050491694,104.72249470407142,137.14520578215354,0.804086077043763,0.5978560141262533,0.6465546373383,1.138701160680171,acceptable
infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0.4157121459683643,165.56626524136882,0.31436690819004637,125.29739334131762,0.6276301065628784,77.86955054680878,0.667971762090051,105.91646053708826,118.66241741664587,0.9030212048091621,0.47114762376078767,0.8154472964277584,0.8345585074799889,acceptable
sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence,0.3961234837166391,157.7828375421459,0.3242624240371518,129.22931228262644,0.6251124841386664,76.11921262441432,0.6746750858418646,110.57684235449246,118.42705120091978,0.8751531312704468,0.4955261565191721,0.765893009427997,0.9031687320149844,acceptable
sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence,0.37954920348470106,151.19715495728295,0.3092152839272829,123.25042890507848,0.6361259151088968,83.776129601908,0.6762240348089048,111.65372508749903,117.4693596379421,0.9432588093913402,0.38867430772951295,0.8897371910609178,0.6425025375288136,acceptable
sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence,0.3741356702868813,149.04612270704024,0.30957450036238054,123.39316122212112,0.6267275297645755,77.24204803382274,0.6707866484317916,107.87346658525323,114.38869963705935,0.9071507604774762,0.4460153569775896,0.8229225137380769,0.7858757634356817,acceptable
infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0.35850197042697235,142.83417362306258,0.2858741127733786,113.97596616959477,0.6288565266033055,78.72220004853695,0.6545137384057106,96.55997840988587,108.02307956277005,0.9394448979783572,0.3760080820492229,0.8825567558229462,0.6612253620089544,acceptable
infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0.2904510431693691,115.79457973104051,0.2618796482246891,104.44192154743874,0.6516017920918776,94.5354929222839,0.6618108825127995,101.63320461449139,104.10129970381362,0.9718363953614259,0.2622892218885715,0.9444659913682314,0.45857360171229544,acceptable
sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence,0.35055773488936504,139.67758323736035,0.23328630657610588,93.08054298360517,0.61910666579072,71.94376061527797,0.6163713051449157,70.04204357314633,93.68598260234745,0.8259052053393319,0.5591535875609263,0.6821194187227357,1.051252210640889,acceptable
sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence,0.3365525366124171,134.1127086787465,0.22111595899305742,88.24473442915796,0.6074435886034696,63.835187186501244,0.6189928440685802,71.86462782922649,89.51431453090804,0.8489717590216219,0.5302509350848524,0.7207530491193335,0.9862249974992894,acceptable
fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0.22903805041574737,91.3925259946443,0.22786325506757735,90.92572869443256,0.6286633947743805,78.58792814146389,0.6510908407072648,94.18026190098895,88.77161118288242,0.9642159024809536,0.2660588415349345,0.9297123098688308,0.5382799879075051,acceptable
jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence,0.3141008704579314,125.19168497662315,0.22708377147811154,90.61600595362603,0.6008673693957138,59.26317283096645,0.624712088063905,75.84084346671503,87.72792680698265,0.9010108755903405,0.4771016251419862,0.8118206015671043,0.8932414802129119,acceptable
fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0.22028044684324205,87.91274910385391,0.20496067274350724,81.82553638144293,0.6137689001443224,68.23276188016449,0.633027104179865,81.62172939032247,79.89819418894595,0.9089519750121584,0.4127533648847705,0.8261936928786475,0.8426222128312421,information-loss risk
jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence,0.26609804806876924,106.11807532307083,0.17141405198069734,68.49600453770589,0.5886968569255654,50.8018128960498,0.6134234612006743,67.99260081505624,73.35212339297068,0.844912032563878,0.5526658831131842,0.7138763428408105,1.0778472272744157,information-loss risk
fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,0.17759982735876895,70.95388220184364,0.1467957417484429,58.7140788856407,0.569162950932437,37.221167878176594,0.5842188573443361,47.688553176040244,53.6444205354253,0.856131287241228,0.5150950590052482,0.7329607951477144,1.0556664706775964,information-loss risk
jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence,0.1837119357266362,73.38248875801213,0.09062161187038895,36.393653281585856,0.5754924694624297,41.62166741575604,0.5702020063986235,37.9435550671558,47.335341130627455,0.7772095525606524,0.6288821955694339,0.6040550758391794,1.2650194680193005,not recommended
jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence,0.1466370233277248,58.65101315219148,0.07336139415797863,29.53541789465634,0.5693706724417573,37.36558303414432,0.5406636299136718,17.407457187523438,35.739867817128896,0.7458280895056832,0.6623320770181541,0.5562595865800133,1.347757434787052,not recommended
fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,0.13837381625627315,55.36768149953169,0.10062191433832704,40.36720850599641,0.5377375489671066,15.3731448158532,0.5539161479546129,26.621064705154225,34.43227488163388,0.8073460371986358,0.5901281286203675,0.6518076276675024,1.20827327397477,not recommended
jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence,0.08621631724322194,34.64323807794889,0.027633703399211708,11.365817015354889,0.5332400003394898,12.246293924701563,0.5341339539467664,12.867801297939755,17.78078757898627,0.6981337382641366,0.7083925882400395,0.4873908554629467,1.4500613298354645,not recommended
jade/keep_top_01/cleaned_jade_220127_F4_run2_fluorescence,0.04925640281149908,19.957456167372325,0.009476225643229672,4.151061178646982,0.526692580620353,7.694301966723464,0.5023454945892372,-9.232631782446704,5.642546882574017,0.5895062933369117,0.7986160717513947,0.34751794268201813,1.6849590278081572,not recommended
fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,0.01159505722017356,4.99296514197254,0.02482223788160318,10.248699455005047,0.5021513765228705,-9.367589355796838,0.5249337644850549,6.471512341668808,3.0863968957123893,0.7523180158885046,0.6624421134393803,0.5659824036476739,1.3565839676637905,not recommended
