target,task,comparison,train_version,test_version,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std
tail_vigor,regression,null_within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,-4.283057554002583,0.8120395350321277,-0.003887096832213889,0.04716247835674803,0.0032716387941327087,0.036178644751259245,2.365909641129142,0.08597700575164395,2.2930002953445587,0.1775077447336838
tail_vigor,regression,null_within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,-5.680371749364391,0.7683849305773574,0.021428584173291236,0.04111799633070167,0.025182981611569222,0.030993101640569586,2.6661932917103526,0.10596965417233367,2.581117199702827,0.1508548588984928
tail_vigor,regression,null_within,raw,raw,-6.15505685676211,2.3897680316964127,-0.0009708085628869212,0.06660852405498502,0.007235355165749592,0.0463062744722357,2.7205826368805726,0.2558248827048702,2.6480289493396727,0.4227876834492978
tail_vigor,regression,transfer_clean_to_raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,raw,-3.300346168796989,0.9449453804825345,0.24766290293615795,0.06001479299955802,0.23846877902385963,0.05056886549962128,2.1299188345573894,0.15212806033048507,2.063170902381509,0.23364502017820707
tail_vigor,regression,transfer_clean_to_raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,raw,-9.748477938939642,1.2622041063715448,0.10430703164910719,0.03042859562346517,0.10019252588269767,0.04877245461804768,3.3915807442269745,0.20566256413590314,3.2740471925219623,0.1906991088033152
tail_vigor,regression,transfer_raw_to_clean,raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,-1.429516507951576,0.2449838306556555,0.26647045166239536,0.05101847880100607,0.23803111783072098,0.02620232917164139,1.6112974202694104,0.02981291516042806,1.5570882883107864,0.0789981831829219
tail_vigor,regression,transfer_raw_to_clean,raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,-1.7107350899176936,0.28751601331668486,0.02668294369929733,0.03478069016977101,0.009603996281451851,0.019624376829089938,1.7033131682604707,0.08850600583840282,1.6445761901275477,0.08735162264701878
tail_vigor,regression,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,-1.9780203143411683,0.49248138808388936,0.2657611988843031,0.044938225511650054,0.25025288804841617,0.03591548057568563,1.7782557668800627,0.03726916324872714,1.7210986499743057,0.140711368578514
tail_vigor,regression,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,-6.890884838023449,0.776200230621742,-0.07337695041107685,0.03065537232874048,-0.07537436772284793,0.03656945809500634,2.9067279041646814,0.156367566543852,2.806174647327566,0.14260385127801578
tail_vigor,regression,within,raw,raw,-2.3899714707123114,0.6882598796886411,0.2507006016267481,0.045360181663371676,0.22830371246154174,0.03399523627180302,1.9050229143783728,0.2480681061969384,1.8339624844024531,0.18218492156560825
