target,task,comparison,train_version,test_version,fold,n_train,n_test,r2,pearson,spearman,rmse,nrmse,balanced_accuracy,macro_f1,roc_auc
tail_vigor,regression,within,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,2,2534,634,-1.2768142932145685,0.14403598957532043,0.14166307059146752,1.4950631152782918,1.5089116253825368,,,
tail_vigor,regression,within,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,3,2533,635,-1.1035586120018586,0.16239604137120003,0.13314221004223237,1.5760597174556492,1.4503649926835172,,,
tail_vigor,regression,within,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,4,2536,635,-2.4888768021388437,0.1536942333337272,0.1626702175575021,1.784556576287193,1.8678535280205577,,,
tail_vigor,regression,within,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0,2536,635,-1.6430668192704783,0.2621419527498736,0.23043496797790686,1.6847581302660417,1.6257511553957074,,,
tail_vigor,regression,within,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,1,2533,635,-1.7391987707848728,0.26603520072952586,0.2612658868568317,1.8506147513693771,1.6550524978939107,,,
tail_vigor,regression,within,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,2,2534,634,-2.195488280060753,0.15343339445468662,0.15965215541693295,1.7711866783925267,1.7875928731287651,,,
tail_vigor,regression,within,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,3,2533,635,-1.5633252862100275,0.22917182265374206,0.2056141864019404,1.7397915660385646,1.601038814710633,,,
tail_vigor,regression,within,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,4,2536,635,-2.014289249933759,0.19061986362838196,0.18699857951797896,1.6587462970893234,1.7361708585083897,,,
tail_vigor,regression,within,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0,2536,635,-3.536696509571925,0.21957174686932915,0.21052408430298683,2.207259289112775,2.129952231758244,,,
tail_vigor,regression,within,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,1,2533,635,-3.286066789551775,0.2138931272167033,0.20542245087209254,2.314907877201913,2.0702818140416963,,,
tail_vigor,regression,within,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,2,2534,634,-2.1065571215612926,0.25617319480152795,0.25280614814857116,1.746366510097322,1.7625427999232508,,,
tail_vigor,regression,within,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,3,2533,635,-1.9707865158969367,0.22320358240760205,0.20130298110525033,1.8729711263456938,1.7235969702621716,,,
tail_vigor,regression,within,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,4,2536,635,-1.8884737208899174,0.23234860078357447,0.21790288060976143,1.6237595351640224,1.6995510350942444,,,
tail_vigor,regression,within,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-0.39098042123918075,0.4749962457226555,0.3802182373816977,1.2222048368250367,1.1793983301833102,,,
tail_vigor,regression,within,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,0.25822010682040386,0.6617631285230693,0.5204211944903289,0.9630343413221631,0.8612664472621676,,,
tail_vigor,regression,within,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,0.22063435783165808,0.5495993189146355,0.5032471432067894,0.8747145501481788,0.8828168791818278,,,
tail_vigor,regression,within,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,3,2533,635,0.15327068215007678,0.49263340796951127,0.4952068520804866,0.9999255349710194,0.9201789596866055,,,
tail_vigor,regression,within,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,4,2536,635,-0.025035722095292368,0.4045073581027499,0.41866192950344827,0.9672906823480266,1.0124404782975107,,,
tail_vigor,regression,within,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-0.36584260575221283,0.4609274119805711,0.373272686676967,1.2111106341420328,1.1686926908953492,,,
tail_vigor,regression,within,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,0.32606824056504624,0.6634774966463903,0.5251676684972267,0.9179355871366981,0.8209334683364747,,,
tail_vigor,regression,within,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,0.30275276947571295,0.5790688751533559,0.5278141368742945,0.8273497147990663,0.8350133115850831,,,
tail_vigor,regression,within,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,3,2533,635,0.17206783578002605,0.49978409936510976,0.5061067301381902,0.9887642093731834,0.9099077778654132,,,
tail_vigor,regression,within,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,4,2536,635,0.0328513518001895,0.418238671853445,0.42641290056514347,0.939580767655147,0.9834371602699435,,,
tail_vigor,regression,within,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-0.16086498077964695,0.5307679187021029,0.4161054158621788,1.1165401501139534,1.0774344438431729,,,
tail_vigor,regression,within,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,-0.27429260363598384,0.42380111747686994,0.43681469962809283,1.262230955373385,1.1288456952285302,,,
tail_vigor,regression,within,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,0.3318768413521418,0.6024720861396368,0.5507514237802168,0.8098861748042103,0.8173880098508041,,,
tail_vigor,regression,within,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,3,2533,635,-0.024535055293183117,0.4467204317431255,0.4456749526101472,1.0999141058890698,1.0121931906969062,,,
tail_vigor,regression,within,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,4,2536,635,0.04479504066109741,0.4320813020194744,0.4332588973811428,0.9337611233090954,0.9773458749792228,,,
tail_vigor,regression,within,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-0.6039292770910714,0.4501310119026542,0.3961852365415905,1.312429842369525,1.2664632948060797,,,
tail_vigor,regression,within,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,-1.3153700120841427,0.301826174571529,0.3242984441417912,1.701431416405619,1.5216339941274126,,,
tail_vigor,regression,within,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,0.10514921528866683,0.5151433330950647,0.4730462783056156,0.9372836348001506,0.9459655304033722,,,
tail_vigor,regression,within,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,3,2533,635,-0.29749983049773143,0.4252175247267392,0.398417221556611,1.2377958299117953,1.1390785005862114,,,
tail_vigor,regression,within,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,4,2536,635,-0.10695712026562387,0.38624268554583446,0.3900029820639219,1.0052009794445158,1.0521202974306807,,,
tail_vigor,regression,within,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-1.5072758693967931,0.39844560077629193,0.35916462197751114,1.640909200169172,1.583437990385728,,,
tail_vigor,regression,within,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,-1.7086268106002782,0.3084795070055894,0.2920234091341816,1.840258498517884,1.6457906338900699,,,
tail_vigor,regression,within,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,-0.8930135898646065,0.382274503758424,0.3433344838481055,1.3632408407099499,1.3758683039683,,,
tail_vigor,regression,within,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,3,2533,635,-0.5342080615006686,0.38878751380926274,0.3605760968014077,1.3459765407207636,1.2386315277356172,,,
tail_vigor,regression,within,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,4,2536,635,-0.8470473811213788,0.3145227267852937,0.3079967962072423,1.2984538611522287,1.3590612131620043,,,
tail_vigor,regression,within,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-1.4424022790173594,0.32065606098487115,0.28794104418946664,1.6195415250359197,1.5628186967839102,,,
tail_vigor,regression,within,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,-2.0183910089161974,0.24921172925129595,0.21298410397069867,1.9426385149284435,1.737351722857579,,,
tail_vigor,regression,within,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,-2.496766458984745,0.3157558759425582,0.3010714246224933,1.8528021092013434,1.8699642935052916,,,
