variant,target_shift,dynamic_mse_mean,angle_r2_mean,angle_pearson_mean,vigor_r2_mean,vigor_pearson_mean,bout_balanced_accuracy_mean,bout_roc_auc_mean
fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,0,5.782429002085285,0.026704039795323452,0.1779052582763591,0.002045983002811891,0.0790994973317202,0.5264123462316656,0.5336092655909549
fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,0,4.427952734343718,0.03378863843416533,0.19308761596712257,0.006389422921974331,0.09550350382811046,0.53288066776686,0.5457151544504908
fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,0,3.5514653564816334,0.03278614659026524,0.19078766398976638,0.005839145717701122,0.09348102910501903,0.5364819320737991,0.5434942305703109
fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,0,3.015736325135493,0.03253977660612748,0.19092735679466757,0.00497269136312053,0.0900641584025638,0.5306471075852575,0.5413550150545406
fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,0,2.510928996119095,0.03204318608857859,0.18982503051790217,0.004466487750810488,0.08745959908972537,0.5311100542050129,0.5400190602310673
fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,0,2.147619455671867,0.0316076916473544,0.18905494134113904,0.0034943667593966277,0.08234076792793119,0.5300277410061953,0.5358773380607762
infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,0,4.0438797077147175,0.031387050811744824,0.1883556885912618,0.0029885100802945486,0.07984577600430427,0.52520075511236,0.5333189807591626
infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,0,3.8178406909434037,0.03134104764837584,0.18802417140673827,0.0029337300741428375,0.07951560470188615,0.5269652939323738,0.5330902753582455
infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,0,3.4523712740405452,0.03165614891874411,0.18841950192105453,0.003088770541714969,0.07946251656239925,0.5279180648924922,0.5331743498830622
infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,0,2.8193982802346302,0.03158277524814945,0.18813572297070005,0.0028615332665236524,0.07833584875646525,0.5262535608241024,0.5321413922897612
infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,0,2.3841323634223253,0.03150829468154577,0.18820301549303,0.0029770546640173422,0.07878908528805725,0.5261681168559946,0.5331212798248413
infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,0,2.1320668277809993,0.031542464706082574,0.18884605296514426,0.0028967081324483557,0.07866421368614143,0.5237461003709227,0.5334684293940555
jade/keep_top_01/cleaned_jade_220127_F4_run2_fluorescence,0,8.524890225683865,0.020948228445166306,0.15338508258925518,0.003880655729203175,0.08034256201391227,0.5315130062548219,0.5435260705637137
jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence,0,5.374368066406854,0.03528186066242269,0.19300556071980454,0.003885287684447225,0.0797261531105115,0.5338881210916577,0.5397040606109478
jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence,0,4.794214678478321,0.03383087886873819,0.19002930153496672,0.0035948052242091412,0.07772750388137165,0.5282686183953895,0.5342050977230832
jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence,0,4.327722186924874,0.03394812936005291,0.19065425164313576,0.003919718829791941,0.0794821561215485,0.5265058078657963,0.5336612932834313
jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence,0,3.382633400088051,0.03350532771784644,0.19028107075153972,0.004458057153310158,0.08392117267404274,0.5265834696219527,0.5371252861848104
jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence,0,2.9373362955521336,0.032253284601293064,0.18865230867959862,0.002917306250081664,0.07766465498378644,0.5252161504912161,0.5353803748496049
raw,0,1.9259417144645252,0.03156720240931632,0.18925425784304364,0.002967038982142611,0.0788439125348173,0.5254035562859203,0.533208570415332
sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence,0,2.1792321845334426,0.03471309947385528,0.19577238091178514,0.006778880917272012,0.09963677064376905,0.5318892754157593,0.5477305067583922
sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence,0,2.5057208570598797,0.032536028191619694,0.19046386429339962,0.003317328631866223,0.08102258737816215,0.52710775316388,0.5338881729844223
sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence,0,2.4139236854520254,0.032301097096605426,0.1900268598253398,0.0032659606530341056,0.08074680903138999,0.5254416042851389,0.5342251566239146
sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence,0,2.3877605417185714,0.031898400525476635,0.18907342653246384,0.003099241848995615,0.0798598511852266,0.525149104230832,0.5337541207981299
sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence,0,2.300320066835344,0.03172972919627115,0.18878649999531377,0.0030494121319327716,0.0795934468774365,0.5245515688821871,0.5335998822495277
sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence,0,2.227477559488034,0.03166498619556983,0.18873966989812532,0.002997247334209541,0.07931120779874012,0.5242247316601457,0.5334220135732534
