metric,method,selection_id,clusters_kept,target_shift,score,delta_vs_prev,delta_vs_raw,variant,method_label,variant_label
vigor_r2,fastica,keep_top_03,3.0,0,0.005839145717701122,-0.0005502772042732086,0.002872106735558511,fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k3
vigor_r2,fastica,keep_top_04,4.0,0,0.00497269136312053,-0.0008664543545805923,0.0020056523809779186,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k4
vigor_r2,fastica,keep_top_05,5.0,0,0.004466487750810488,-0.0005062036123100414,0.0014994487686678772,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k5
vigor_r2,fastica,keep_top_06,6.0,0,0.0034943667593966277,-0.0009721209914138607,0.0005273277772540165,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k6
vigor_r2,infomax,keep_top_01,1.0,0,0.0029885100802945486,,2.1471098151937436e-05,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k1
vigor_r2,infomax,keep_top_02,2.0,0,0.0029337300741428375,-5.478000615171102e-05,-3.330890799977358e-05,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k2
vigor_r2,infomax,keep_top_03,3.0,0,0.003088770541714969,0.00015504046757213157,0.00012173155957235799,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k3
vigor_r2,infomax,keep_top_04,4.0,0,0.0028615332665236524,-0.0002272372751913167,-0.00010550571561895872,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k4
vigor_r2,infomax,keep_top_05,5.0,0,0.0029770546640173422,0.00011552139749368981,1.0015681874731095e-05,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k5
vigor_r2,infomax,keep_top_06,6.0,0,0.0028967081324483557,-8.034653156898655e-05,-7.033084969425545e-05,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k6
vigor_r2,jade,keep_top_01,1.0,0,0.003880655729203175,,0.0009136167470605639,jade/keep_top_01/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k1
vigor_r2,jade,keep_top_02,2.0,0,0.003885287684447225,4.631955244049826e-06,0.0009182487023046138,jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k2
vigor_r2,jade,keep_top_03,3.0,0,0.0035948052242091412,-0.00029048246023808365,0.0006277662420665301,jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k3
vigor_r2,jade,keep_top_04,4.0,0,0.003919718829791941,0.00032491360558279964,0.0009526798476493297,jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k4
vigor_r2,jade,keep_top_05,5.0,0,0.004458057153310158,0.0005383383235182167,0.0014910181711675465,jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k5
vigor_r2,jade,keep_top_06,6.0,0,0.002917306250081664,-0.0015407509032284938,-4.9732732060947266e-05,jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k6
vigor_r2,sobi,keep_top_01,1.0,0,0.006778880917272012,,0.003811841935129401,sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k1
vigor_r2,sobi,keep_top_02,2.0,0,0.003317328631866223,-0.003461552285405789,0.0003502896497236119,sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k2
vigor_r2,sobi,keep_top_03,3.0,0,0.0032659606530341056,-5.1367978832117436e-05,0.00029892167089149444,sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k3
vigor_r2,sobi,keep_top_04,4.0,0,0.003099241848995615,-0.00016671880403849046,0.00013220286685300398,sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k4
vigor_r2,sobi,keep_top_05,5.0,0,0.0030494121319327716,-4.98297170628435e-05,8.237314979016048e-05,sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k5
vigor_r2,sobi,keep_top_06,6.0,0,0.002997247334209541,-5.216479772323073e-05,3.0208352066929747e-05,sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k6
