variant,target_shift,latent_dim,lag,corr_to_angle_next,corr_to_vigor_next,corr_to_bout_next
jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence,0,z1,1,0.018810022114135704,0.06304431049490046,0.037292675663235283
jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence,0,z2,1,0.18527777918909505,0.0822848666362259,0.05988932535085193
jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence,0,z3,1,0.0027385606180367213,0.043068137627098074,0.045512717727710525
jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence,0,z1,1,0.013785342396947516,0.06552435118835605,0.03857807154468012
jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence,0,z2,1,0.18442203820678585,0.08273415287833077,0.058040499485076724
jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence,0,z3,1,0.0020649613499062447,0.03865582643959171,0.04047820168236333
jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence,0,z1,1,0.01657001368066724,0.06799365018343456,0.03990279342421534
jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence,0,z2,1,0.18450099260502636,0.08439022664275729,0.06015452331735789
jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence,0,z3,1,-0.004495986977302429,0.034660986442167835,0.03724654730996436
jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence,0,z1,1,0.021954964260587847,0.0712622493037595,0.041915323273409834
jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence,0,z2,1,0.18365131476439234,0.08717028996845871,0.06265361211043126
jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence,0,z3,1,-0.017662006122102517,0.030873494118834797,0.03402584430281639
jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence,0,z1,1,0.048573995453998646,0.08077063465769337,0.0486639701806168
jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence,0,z2,1,-0.17605499042204303,-0.07328589397941153,-0.05440632146862704
jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence,0,z3,1,-0.024344123414517357,0.020737536048167787,0.026311227916446543
raw,0,z1,1,0.17644715470560907,0.10732953056726038,0.0718789146849672
raw,0,z2,1,-0.047681442710237866,0.029352372386519665,0.012982197417850502
raw,0,z3,1,-0.032863863242378916,0.010668451380879289,0.016732299533280887
sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence,0,z1,1,0.024770757118871417,0.07832966359254573,0.04679052927700448
sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence,0,z2,1,0.18715125803845217,0.09339626427273158,0.06667943719388514
sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence,0,z3,1,-0.03265269254127762,0.033948371999544986,0.033343040900291325
sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence,0,z1,1,0.030513717631005476,0.07363051653858298,0.04255876410779333
sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence,0,z2,1,0.18277929554262362,0.08390170735746882,0.05928241788068604
sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence,0,z3,1,-0.028721745400243182,0.014609146865670133,0.017773122710544792
sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence,0,z1,1,0.03906366739582851,0.07720482950432538,0.0452326797749115
sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence,0,z2,1,0.18067052682540627,0.0805388059357639,0.05735295600577195
sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence,0,z3,1,-0.028841347789832043,0.01351769611546124,0.01729049381707945
sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence,0,z1,1,0.04735549434291279,0.08042981655198617,0.04761936664302262
sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence,0,z2,1,-0.17793569185895833,-0.07705532120077432,-0.05530867285104305
sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence,0,z3,1,-0.028039988910139767,0.015077784581349589,0.019154861047900606
sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence,0,z1,1,0.06352153978534907,0.08690312045874347,0.052310872980075925
sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence,0,z2,1,-0.17228958764604388,-0.06953603042971827,-0.05083365021566297
sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence,0,z3,1,-0.028488003960870135,0.014429753585683625,0.01893119871864153
sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence,0,z1,1,0.09177421495976655,0.09730529081687898,0.060114319979129666
sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence,0,z2,1,-0.15871508816798446,-0.05400260094843648,-0.041353731605655676
sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence,0,z3,1,-0.029028000782296528,0.01383221428902949,0.018739645600281806
