method,component,ic_variance,ic_std,excess_kurtosis,abs_excess_kurtosis,robust_peak_density,max_abs_robust_z,lag1_autocorr,lag5_autocorr,lag10_autocorr,window_variance_ratio,zero_crossing_rate,spectral_total_power,peak_freq_hz,low_freq_power_ratio,high_freq_power_ratio,spectral_entropy,narrowband_ratio,loading_l1,loading_l2,loading_hoyer_sparsity,max_median_loading_ratio,strong_loading_fraction,behavior_corr_angle,behavior_corr_vigor,behavior_corr_bout_state,max_abs_behavior_corr
jade,0,0.9996851385390408,0.9998425568753516,16.996940181997022,16.996940181997022,0.047544080604534,21.820021222316967,0.9329433477090935,0.9001714358262265,0.8795842033479953,31.689914665712788,0.22708661417322834,20.269956260675038,0.021184800000000004,0.8506230889863065,0.0,0.49352407963160777,362.6354729998431,225.28194073512168,18.296408597555878,0.59671200583941,66.04280005848814,0.09597156398104266,-0.028235769400901306,0.025455228508150553,0.018276350717393877,0.028235769400901306
jade,1,0.9996851385390434,0.999842556875353,18.463208690694255,18.463208690694255,0.017947103274559194,13.491059796081442,0.8054845699988834,0.7272058317087577,0.6804770841066271,9.417872283035107,0.30992125984251967,42.34851163775103,0.021184800000000004,0.8038701023969288,0.0,0.6123870773231163,156.05437831120227,278.5437946124123,17.19211169739151,0.4580774406353909,27.73930519441036,0.1386255924170616,0.02274878099034829,0.05299129449744005,0.01753245738744859,0.05299129449744005
jade,2,0.9996851385390431,0.9998425568753527,14.562055596764072,14.562055596764072,0.011964735516372796,11.187285476963202,0.837545074182407,0.8013393547610648,0.7309392256016888,6.788251277566284,0.24440944881889765,34.937121128517056,0.021184800000000004,0.8182905146172893,0.0,0.6031787990338502,135.7024743553448,158.70801193175555,8.813232655890335,0.3936932189872158,21.16411052702877,0.07464454976303317,0.0039061955003405636,0.02062450769663753,0.013060428639094462,0.02062450769663753
jade,3,0.9996851385390451,0.9998425568753537,27.10059599522775,27.10059599522775,0.013853904282115869,15.704821690834818,0.852863067668477,0.7861947468410561,0.6904187385961001,8.337988296968549,0.26960629921259843,40.28765482028661,0.04236960000000001,0.8550202921520946,0.0,0.5739339107106991,181.47052627425538,320.20872061657144,19.06801373357367,0.4370041896743434,25.791232054635437,0.11492890995260663,0.018832608209330092,-0.02324062198452537,-0.01567283817264747,0.02324062198452537
jade,4,0.999685138539043,0.9998425568753527,89.53130119800868,89.53130119800868,0.01322418136020151,37.23262985714266,0.9491957215303404,0.8090886581561715,0.6132955350686315,23.440432268344953,0.255748031496063,50.591702284433985,0.04236960000000001,0.9582622122738061,0.0,0.5365088388389738,521.8383243627991,286.87760742835803,21.366812915516,0.5570205410321757,47.627801050606905,0.1504739336492891,-0.01171099896947088,-0.04163836045384473,-0.030882529792436574,0.04163836045384473
jade,5,0.9996851385390447,0.9998425568753536,76.44754873304501,76.44754873304501,0.015428211586901764,32.49433206327666,0.9057540627763572,0.8182483643490166,0.6994200699617596,18.37624200703001,0.2894488188976378,49.1036827757816,0.04236960000000001,0.919399269047797,0.0,0.5260871599064457,337.1282050684697,264.3911239702441,18.30415155199969,0.5207300786930515,54.5003287651791,0.15402843601895735,0.008276899824357272,0.022788151958595782,0.013700528717734393,0.022788151958595782
jade,6,0.9996851385390421,0.9998425568753523,66.35094748099127,66.35094748099127,0.01353904282115869,29.240590455990326,0.931262188247775,0.863333375735125,0.734091409058156,17.292598759817672,0.2951181102362205,40.60169552686952,0.021184800000000004,0.9349385033281478,0.0,0.4821190613433055,454.72183245339033,219.68923702384282,14.36324990082474,0.49039655382159053,39.77652265508989,0.09834123222748815,-0.049281928192368145,-0.04339840966620176,-0.04494762929162171,0.049281928192368145
jade,7,0.9996851385390437,0.9998425568753531,2.7306697283530807,2.7306697283530807,0.0006297229219143577,7.416591299566992,0.6801271094336083,0.4995094097126721,0.46293045938073685,2.8826700974684196,0.32188976377952755,42.54857600929562,0.021184800000000004,0.6798868539110008,0.0,0.7816951146432805,60.51183590552154,146.64087621574419,8.165097872994696,0.39542028224675807,18.35835890933182,0.10900473933649289,0.010941373377409282,0.0727874710632383,0.07304676848332607,0.07304676848332607
jade,8,0.999685138539041,0.9998425568753517,29.25396541069989,29.25396541069989,0.015743073047858942,17.241533606425346,0.8947917064912193,0.8415004874317141,0.762555661616847,12.259125300930961,0.25354330708661416,31.37291195851238,0.021184800000000004,0.8678001468971164,0.0,0.538698499253303,258.9820167189947,177.41675509939506,11.345142078404745,0.4781729134271529,30.927907980218425,0.0924170616113744,-0.038349956420376606,-0.03282028995558467,-0.01669727096512333,0.038349956420376606
jade,9,0.999685138539041,0.9998425568753517,102.18274618308742,102.18274618308742,0.009760705289672544,33.894859741128265,0.9071587923941804,0.8519186638821646,0.7596222642174466,15.269469139148768,0.25700787401574804,13.662408234012698,0.021184800000000004,0.7418297599465803,0.0,0.7104085549497863,80.01609104255687,264.7993307543917,16.252888581780514,0.4548473266606128,27.018909302682225,0.10071090047393365,0.07650598435824542,0.048324208647174446,0.04309235521835577,0.07650598435824542
